10915,轉運中心地下停車場,CYI12745271,平面式小型停車場68格(含婦幼停車位1格、身心障礙車位1格),3,1,23.48081,120.44072,嘉義市西區中興路1號B1,20元/1hr,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,Chiayi,CYI
10918,新民二站停車場,CYI12745271,平面式小型停車場39格(含婦幼停車位1格、身心障礙車位1格),1,1,23.46703,120.44032,嘉義市西區新民路682號,平日1小時30元、假日半小時25元,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,Chiayi,CYI
10701east,嘉義中山停車場,CYI12745271,平面式小型停車場29格,1,1,23.48043,120.45051,嘉義市中山路248號,  平日：20元/0.5hr、假日：30元/0.5hr,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,Chiayi,CYI
10801east,博物館地下停車場,CYI12745271,平面式小型停車場75格(含婦幼停車位1格、身心障礙車位1格),3,1,23.48701,120.45144,嘉義市東區忠孝路275之1號B1,平日1小時20元、假日1小時30元,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,Chiayi,CYI
11017,金財神停車場,CYI12745271,平面式小型停車場104格(含婦幼停車位2格、身心障礙車位2格),3,1,23.47576,120.44599,嘉義市西區民族路610號B2,平日1小時40元、假日1小時50元,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,Chiayi,CYI
10802,嘉義中興停車場,CYI12745271,平面式小型停車場65格(含婦幼停車位2格、身心障礙車位2格),1,1,23.48133,120.43316,嘉義市西區中興路271巷4弄2號,20元/1hr,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,Chiayi,CYI
10819,中央廣場地下停車場,CYI12745271,平面式小型停車場130格(含婦幼停車位3格、身心障礙車位4格),3,1,23.50612,120.43932,嘉義市文化路及民權路口地下B1,20元/1hr,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,Chiayi,CYI
Cityparking1,嘉義成仁站停車場,CYI12745271,平面式小型停車場68格,1,1,23.47418,120.45292,嘉義市東區垂楊路256號,平日：10元/0.5hr、假日：15元/0.5hr,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,Chiayi,CYI
10721,中正公園地下停車場,CYI12745271,平面式小型停車場129格(含婦幼停車位3格、身心障礙車位3格),3,1,23.48208,120.4474,嘉義市西區民權路415號B1,20元/1hr,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,Chiayi,CYI
10817,停10(蘭停七)停車場,CYI28371994,平面式小型停車場36格(含婦幼停車位1格、身心障礙車位1格),1,1,23.47717,120.46618,嘉義市大雅路二段與495巷路口,20元/1hr,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,Chiayi,CYI
11010,嘉義蘭井街停車場,CYI12745271,平面式小型停車場55格(含婦幼停車位2格、身心障礙車位2格),1,1,23.47677,120.44144,嘉義市西區蘭井街372號,平日1小時40元、假日1小時50元,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,Chiayi,CYI
10814,大同國小(西榮街)停車場,CYI28371994,平面式小型停車場18格(含婦幼停車位1格、身心障礙車位1格),1,1,23.47335,120.44569,嘉義市西區垂楊路與西榮街口,20元/1hr,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,Chiayi,CYI
10912east,嘉義東市停車場,CYI12745271,平面式小型停車場48格(含婦幼停車位1格、身心障礙車位1格),5,1,23.47872,120.45343,嘉義市吳鳳北路184號3F,平日半小時10元、假日半小時15元,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,Chiayi,CYI
